Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
HP Palette,1,2x2,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,,,,,,
GlamCam,2,2x2,ALL,AppID,AD2F1837.HPGlamCamWidget_v10z8vjag6ke6!App,,,,,,,
McAfee,3,2x2,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,S_Mode,
McAfee,3,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\McAfee\McAfee LiveSafe.lnk,,,,,,,
e-QR Code,4,2x2,ALL,AppID,AD2F1837.E-QRcode_v10z8vjag6ke6!App,,,,,,,
HP e-Service,5,2x2,ALL,DtAppID,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\StarSoftComm\CooCare5\eService\BIN\CooCare.exe,,,,,,,
WPS Office,6,2x2,ALL,DtAppID,Kingsoft.Office.KPrometheus,,,,,,,
Simple Solitaire,7,2x2,ALL,AppID,26720RandomSaladGamesLLC.SimpleSolitaire_kx24dqmazqk8j!App,,,,,,,
myHP,101,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
HPSA,102,Taskbar,ALL,AppID,AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant,,,,,,,
Xiaowei,103,Taskbar,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,,
Baidu,1,EdgeFav,ALL,Link,https://www.baidu.com/?tn=67074732_8_dg,,,,,,,
Agoda.com,2,EdgeFav,ALL,Link,https://www.agoda.com/?cid=1649895&tag=NW22C1EF,,,,,,,
HP China Website,3,EdgeFav,ALL,Link,http://www.hp.com,,,,,,,
HP China Store,4,EdgeFav,ALL,Link,https://www.hpstore.cn/hponline,,,,,,,
